"participation","year","count"
"1016588","2019",1
"1016588","2020",1
"1016588","2021",1
"1016588","2022",1
"1016588","2023",0
"1017345","2017",0
"1017345","2018",0
"1017345","2019",1
"1017345","2020",0
"1017345","2021",0
"1017345","2022",0
"1017345","2023",0
"1017463","2017",0
"1017463","2018",2
"1017463","2019",1
"1017463","2020",2
"1017463","2021",1
"1017463","2022",2
"1017463","2023",3
"1017650","2017",1
"1017650","2018",1
"1017650","2019",1
"1017650","2020",1
"1017650","2021",1
"1017650","2022",0
"1017650","2023",0
"1017891","2017",0
"1017891","2018",0
"1017891","2019",1
"1017891","2020",0
"1017891","2021",0
"1017891","2022",0
"1017891","2023",0
"1018733","2017",0
"1018733","2018",0
"1018733","2019",0
"1018733","2020",0
"1018733","2021",1
"1018733","2022",0
"1018733","2023",2
"1020011","2017",0
"1020011","2018",1
"1020011","2019",0
"1020011","2020",0
"1020011","2021",0
"1020011","2022",0
"1020011","2023",0
"1020023","2017",0
"1020023","2018",2
"1020023","2019",2
"1020023","2020",1
"1020023","2021",0
"1020023","2022",0
"1020023","2023",0
"1020072","2017",0
"1020072","2018",1
"1020072","2019",1
"1020072","2020",1
"1020072","2021",0
"1020072","2022",0
"1020072","2023",0
"1020081","2017",0
"1020081","2018",0
"1020081","2019",1
"1020081","2020",0
"1020081","2021",0
"1020081","2022",0
"1020081","2023",0
"1020129","2017",0
"1020129","2018",1
"1020129","2019",0
"1020129","2020",0
"1020129","2021",0
"1020129","2022",0
"1020129","2023",0
"1020130","2017",0
"1020130","2018",0
"1020130","2019",1
"1020130","2020",0
"1020130","2021",0
"1020130","2022",0
"1020130","2023",0
"1020158","2017",0
"1020158","2018",2
"1020158","2019",1
"1020158","2020",0
"1020158","2021",0
"1020158","2022",0
"1020158","2023",0
"1020165","2017",0
"1020165","2018",1
"1020165","2019",0
"1020165","2020",0
"1020165","2021",0
"1020165","2022",0
"1020165","2023",0
"1020209","2017",0
"1020209","2018",2
"1020209","2019",1
"1020209","2020",1
"1020209","2021",2
"1020209","2022",1
"1020209","2023",2
"1020220","2017",1
"1020220","2018",1
"1020220","2019",1
"1020220","2020",1
"1020220","2021",1
"1020220","2022",1
"1020220","2023",1
"1020250","2017",0
"1020250","2018",0
"1020250","2019",0
"1020250","2020",0
"1020250","2021",0
"1020250","2022",1
"1020250","2023",0
"1020280","2017",0
"1020280","2018",1
"1020280","2019",0
"1020280","2020",0
"1020280","2021",0
"1020280","2022",0
"1020280","2023",0
"1020317","2017",0
"1020317","2018",1
"1020317","2019",1
"1020317","2020",0
"1020317","2021",0
"1020317","2022",1
"1020317","2023",1
"1020319","2017",0
"1020319","2018",1
"1020319","2019",0
"1020319","2020",1
"1020319","2021",0
"1020319","2022",0
"1020319","2023",0
"1020326","2017",0
"1020326","2018",1
"1020326","2019",0
"1020326","2020",1
"1020326","2021",1
"1020326","2022",0
"1020326","2023",0
"1020347","2017",0
"1020347","2018",1
"1020347","2019",1
"1020347","2020",1
"1020347","2021",1
"1020347","2022",0
"1020347","2023",1
"1020353","2017",0
"1020353","2018",0
"1020353","2019",0
"1020353","2020",1
"1020353","2021",0
"1020353","2022",0
"1020353","2023",0
"1020420","2017",0
"1020420","2018",1
"1020420","2019",1
"1020420","2020",0
"1020420","2021",1
"1020420","2022",0
"1020420","2023",1
"1020430","2017",0
"1020430","2018",1
"1020430","2019",0
"1020430","2020",0
"1020430","2021",1
"1020430","2022",0
"1020430","2023",0
"1020610","2017",0
"1020610","2018",0
"1020610","2019",0
"1020610","2020",0
"1020610","2021",1
"1020610","2022",0
"1020610","2023",0
"1020635","2017",0
"1020635","2018",1
"1020635","2019",1
"1020635","2020",1
"1020635","2021",1
"1020635","2022",0
"1020635","2023",1
"1020782","2017",1
"1020782","2018",0
"1020782","2019",0
"1020782","2020",0
"1020782","2021",0
"1020782","2022",0
"1020782","2023",0
"1020840","2017",0
"1020840","2018",1
"1020840","2019",1
"1020840","2020",0
"1020840","2021",0
"1020840","2022",0
"1020840","2023",0
"1020910","2017",0
"1020910","2018",1
"1020910","2019",1
"1020910","2020",0
"1020910","2021",0
"1020910","2022",0
"1020910","2023",0
"1020915","2017",0
"1020915","2018",2
"1020915","2019",1
"1020915","2020",1
"1020915","2021",1
"1020915","2022",0
"1020915","2023",0
"1021020","2017",0
"1021020","2018",1
"1021020","2019",1
"1021020","2020",0
"1021020","2021",0
"1021020","2022",1
"1021020","2023",0
"1021050","2017",1
"1021050","2018",0
"1021050","2019",1
"1021050","2020",0
"1021050","2021",0
"1021050","2022",1
"1021050","2023",1
"1021065","2017",0
"1021065","2018",1
"1021065","2019",0
"1021065","2020",0
"1021065","2021",0
"1021065","2022",0
"1021065","2023",0
"1021141","2017",1
"1021141","2018",1
"1021141","2019",0
"1021141","2020",0
"1021141","2021",1
"1021141","2022",0
"1021141","2023",0
"1021226","2017",0
"1021226","2018",1
"1021226","2019",1
"1021226","2020",0
"1021226","2021",0
"1021226","2022",0
"1021226","2023",0
"1021316","2017",0
"1021316","2018",0
"1021316","2019",0
"1021316","2020",0
"1021316","2021",1
"1021316","2022",0
"1021316","2023",0
"1021388","2017",0
"1021388","2018",1
"1021388","2019",1
"1021388","2020",1
"1021388","2021",0
"1021388","2022",1
"1021388","2023",2
"1021390","2017",0
"1021390","2018",1
"1021390","2019",0
"1021390","2020",0
"1021390","2021",0
"1021390","2022",0
"1021390","2023",0
"1021454","2017",0
"1021454","2018",1
"1021454","2019",1
"1021454","2020",0
"1021454","2021",0
"1021454","2022",0
"1021454","2023",0
"1021467","2017",0
"1021467","2018",1
"1021467","2019",0
"1021467","2020",0
"1021467","2021",0
"1021467","2022",1
"1021467","2023",0
"1021469","2017",1
"1021469","2018",1
"1021469","2019",0
"1021469","2020",1
"1021469","2021",0
"1021469","2022",1
"1021469","2023",1
"1021483","2017",0
"1021483","2018",8
"1021483","2019",6
"1021483","2020",4
"1021483","2021",3
"1021483","2022",4
"1021483","2023",8
"1021596","2017",0
"1021596","2018",0
"1021596","2019",1
"1021596","2020",1
"1021596","2021",1
"1021596","2022",0
"1021596","2023",0
"1021615","2017",0
"1021615","2018",1
"1021615","2019",1
"1021615","2020",1
"1021615","2021",1
"1021615","2022",1
"1021615","2023",2
"1021646","2017",0
"1021646","2018",1
"1021646","2019",0
"1021646","2020",0
"1021646","2021",0
"1021646","2022",0
"1021646","2023",0
"1021647","2017",0
"1021647","2018",1
"1021647","2019",1
"1021647","2020",0
"1021647","2021",0
"1021647","2022",0
"1021647","2023",0
"1021665","2017",0
"1021665","2018",1
"1021665","2019",1
"1021665","2020",1
"1021665","2021",0
"1021665","2022",0
"1021665","2023",0
"1021666","2017",1
"1021666","2018",0
"1021666","2019",0
"1021666","2020",0
"1021666","2021",0
"1021666","2022",0
"1021666","2023",0
"1021690","2017",0
"1021690","2018",0
"1021690","2019",1
"1021690","2020",0
"1021690","2021",1
"1021690","2022",0
"1021690","2023",0
"1021920","2017",0
"1021920","2018",3
"1021920","2019",2
"1021920","2020",0
"1021920","2021",0
"1021920","2022",0
"1021920","2023",0
"1021921","2017",0
"1021921","2018",1
"1021921","2019",1
"1021921","2020",1
"1021921","2021",1
"1021921","2022",1
"1021921","2023",1
"1021966","2017",0
"1021966","2018",1
"1021966","2019",1
"1021966","2020",1
"1021966","2021",1
"1021966","2022",0
"1021966","2023",0
"1022015","2017",0
"1022015","2018",1
"1022015","2019",1
"1022015","2020",1
"1022015","2021",1
"1022015","2022",1
"1022015","2023",1
"1022020","2017",0
"1022020","2018",1
"1022020","2019",1
"1022020","2020",1
"1022020","2021",1
"1022020","2022",1
"1022020","2023",0
"1022044","2017",0
"1022044","2018",1
"1022044","2019",1
"1022044","2020",1
"1022044","2021",1
"1022044","2022",0
"1022044","2023",2
"1022050","2017",0
"1022050","2018",1
"1022050","2019",0
"1022050","2020",0
"1022050","2021",0
"1022050","2022",0
"1022050","2023",0
"1022076","2017",0
"1022076","2018",0
"1022076","2019",0
"1022076","2020",0
"1022076","2021",0
"1022076","2022",0
"1022076","2023",1
"1022110","2017",0
"1022110","2018",1
"1022110","2019",1
"1022110","2020",0
"1022110","2021",0
"1022110","2022",1
"1022110","2023",0
"1022120","2017",0
"1022120","2018",1
"1022120","2019",1
"1022120","2020",0
"1022120","2021",0
"1022120","2022",0
"1022120","2023",0
"1022135","2017",0
"1022135","2018",1
"1022135","2019",1
"1022135","2020",0
"1022135","2021",0
"1022135","2022",1
"1022135","2023",2
"1022140","2017",0
"1022140","2018",1
"1022140","2019",0
"1022140","2020",0
"1022140","2021",0
"1022140","2022",0
"1022140","2023",0
"1022185","2017",0
"1022185","2018",1
"1022185","2019",0
"1022185","2020",0
"1022185","2021",0
"1022185","2022",0
"1022185","2023",0
"1022200","2017",0
"1022200","2018",1
"1022200","2019",0
"1022200","2020",0
"1022200","2021",0
"1022200","2022",0
"1022200","2023",0
"1022215","2017",0
"1022215","2018",1
"1022215","2019",1
"1022215","2020",0
"1022215","2021",0
"1022215","2022",0
"1022215","2023",0
"1022218","2017",0
"1022218","2018",1
"1022218","2019",0
"1022218","2020",0
"1022218","2021",0
"1022218","2022",0
"1022218","2023",0
"1022222","2017",0
"1022222","2018",0
"1022222","2019",0
"1022222","2020",0
"1022222","2021",0
"1022222","2022",1
"1022222","2023",0
"1022249","2017",1
"1022249","2018",1
"1022249","2019",1
"1022249","2020",1
"1022249","2021",1
"1022249","2022",0
"1022249","2023",2
"1022274","2017",1
"1022274","2018",1
"1022274","2019",1
"1022274","2020",0
"1022274","2021",0
"1022274","2022",0
"1022274","2023",2
"1023410","2017",0
"1023410","2018",1
"1023410","2019",0
"1023410","2020",0
"1023410","2021",0
"1023410","2022",0
"1023410","2023",0
"1023438","2017",0
"1023438","2018",1
"1023438","2019",0
"1023438","2020",0
"1023438","2021",0
"1023438","2022",0
"1023438","2023",0
"1024564","2017",0
"1024564","2018",1
"1024564","2019",1
"1024564","2020",1
"1024564","2021",1
"1024564","2022",0
"1024564","2023",2
"1025686","2017",0
"1025686","2018",1
"1025686","2019",1
"1025686","2020",1
"1025686","2021",1
"1025686","2022",0
"1025686","2023",0
"1025689","2017",0
"1025689","2018",1
"1025689","2019",0
"1025689","2020",1
"1025689","2021",0
"1025689","2022",1
"1025689","2023",0
"1028101","2017",1
"1028101","2018",0
"1028101","2019",0
"1028101","2020",0
"1028101","2021",0
"1028101","2022",0
"1028101","2023",0
"1030009","2017",0
"1030009","2018",1
"1030009","2019",1
"1030009","2020",0
"1030009","2021",0
"1030009","2022",0
"1030009","2023",0
"1030011","2017",0
"1030011","2018",1
"1030011","2019",1
"1030011","2020",1
"1030011","2021",0
"1030011","2022",0
"1030011","2023",1
"1030014","2017",0
"1030014","2018",1
"1030014","2019",1
"1030014","2020",0
"1030014","2021",0
"1030014","2022",0
"1030014","2023",0
"1030018","2017",0
"1030018","2018",1
"1030018","2019",1
"1030018","2020",0
"1030018","2021",1
"1030018","2022",0
"1030018","2023",0
"1030019","2017",0
"1030019","2018",1
"1030019","2019",1
"1030019","2020",1
"1030019","2021",0
"1030019","2022",0
"1030019","2023",0
"1030020","2017",0
"1030020","2018",2
"1030020","2019",1
"1030020","2020",0
"1030020","2021",0
"1030020","2022",0
"1030020","2023",0
"1030021","2017",0
"1030021","2018",0
"1030021","2019",0
"1030021","2020",1
"1030021","2021",0
"1030021","2022",0
"1030021","2023",0
"1030034","2017",0
"1030034","2018",1
"1030034","2019",1
"1030034","2020",1
"1030034","2021",1
"1030034","2022",1
"1030034","2023",1
"1030035","2017",0
"1030035","2018",0
"1030035","2019",1
"1030035","2020",1
"1030035","2021",1
"1030035","2022",1
"1030035","2023",1
"1030042","2017",0
"1030042","2018",0
"1030042","2019",0
"1030042","2020",0
"1030042","2021",0
"1030042","2022",0
"1030042","2023",1
"1030049","2017",0
"1030049","2018",0
"1030049","2019",0
"1030049","2020",1
"1030049","2021",0
"1030049","2022",1
"1030049","2023",0
"1030080","2017",0
"1030080","2018",1
"1030080","2019",1
"1030080","2020",0
"1030080","2021",1
"1030080","2022",1
"1030080","2023",1
"1030081","2017",1
"1030081","2018",0
"1030081","2019",0
"1030081","2020",1
"1030081","2021",1
"1030081","2022",1
"1030081","2023",1
"1030092","2017",0
"1030092","2018",0
"1030092","2019",1
"1030092","2020",0
"1030092","2021",1
"1030092","2022",0
"1030092","2023",1
"1030100","2017",1
"1030100","2018",1
"1030100","2019",0
"1030100","2020",0
"1030100","2021",0
"1030100","2022",0
"1030100","2023",0
"1030131","2017",1
"1030131","2018",1
"1030131","2019",1
"1030131","2020",1
"1030131","2021",1
"1030131","2022",1
"1030131","2023",1
"1030202","2017",0
"1030202","2018",1
"1030202","2019",0
"1030202","2020",0
"1030202","2021",0
"1030202","2022",0
"1030202","2023",0
"1030211","2017",0
"1030211","2018",1
"1030211","2019",1
"1030211","2020",1
"1030211","2021",1
"1030211","2022",1
"1030211","2023",2
"1030236","2017",0
"1030236","2018",0
"1030236","2019",0
"1030236","2020",3
"1030236","2021",1
"1030236","2022",0
"1030236","2023",1
"1030353","2017",0
"1030353","2018",1
"1030353","2019",2
"1030353","2020",1
"1030353","2021",1
"1030353","2022",0
"1030353","2023",0
"1030380","2017",0
"1030380","2018",1
"1030380","2019",0
"1030380","2020",1
"1030380","2021",0
"1030380","2022",0
"1030380","2023",1
"1030415","2017",0
"1030415","2018",1
"1030415","2019",0
"1030415","2020",0
"1030415","2021",0
"1030415","2022",0
"1030415","2023",0
"1030421","2017",1
"1030421","2018",1
"1030421","2019",1
"1030421","2020",1
"1030421","2021",1
"1030421","2022",1
"1030421","2023",1
"1030422","2017",1
"1030422","2018",1
"1030422","2019",1
"1030422","2020",1
"1030422","2021",1
"1030422","2022",1
"1030422","2023",1
"1030489","2017",0
"1030489","2018",1
"1030489","2019",0
"1030489","2020",0
"1030489","2021",0
"1030489","2022",0
"1030489","2023",0
"1030499","2017",0
"1030499","2018",0
"1030499","2019",1
"1030499","2020",0
"1030499","2021",1
"1030499","2022",2
"1030499","2023",1
"1030521","2017",0
"1030521","2018",1
"1030521","2019",0
"1030521","2020",0
"1030521","2021",0
"1030521","2022",0
"1030521","2023",0
"1030541","2017",1
"1030541","2018",1
"1030541","2019",1
"1030541","2020",1
"1030541","2021",0
"1030541","2022",1
"1030541","2023",1
"1030560","2017",0
"1030560","2018",0
"1030560","2019",1
"1030560","2020",1
"1030560","2021",0
"1030560","2022",1
"1030560","2023",0
"1030566","2017",1
"1030566","2018",1
"1030566","2019",0
"1030566","2020",0
"1030566","2021",0
"1030566","2022",0
"1030566","2023",0
"1030581","2017",0
"1030581","2018",0
"1030581","2019",1
"1030581","2020",0
"1030581","2021",0
"1030581","2022",1
"1030581","2023",0
"1030608","2017",0
"1030608","2018",1
"1030608","2019",1
"1030608","2020",1
"1030608","2021",0
"1030608","2022",1
"1030608","2023",2
"1030609","2017",0
"1030609","2018",1
"1030609","2019",1
"1030609","2020",1
"1030609","2021",0
"1030609","2022",0
"1030609","2023",0
"1030678","2017",0
"1030678","2018",0
"1030678","2019",1
"1030678","2020",0
"1030678","2021",0
"1030678","2022",0
"1030678","2023",0
"1030704","2017",1
"1030704","2018",1
"1030704","2019",1
"1030704","2020",1
"1030704","2021",1
"1030704","2022",0
"1030704","2023",0
"1030737","2017",0
"1030737","2018",0
"1030737","2019",1
"1030737","2020",0
"1030737","2021",0
"1030737","2022",0
"1030737","2023",0
"1030790","2017",0
"1030790","2018",1
"1030790","2019",0
"1030790","2020",0
"1030790","2021",0
"1030790","2022",0
"1030790","2023",0
"1030850","2017",0
"1030850","2018",1
"1030850","2019",1
"1030850","2020",0
"1030850","2021",0
"1030850","2022",0
"1030850","2023",0
"1030853","2017",0
"1030853","2018",1
"1030853","2019",2
"1030853","2020",1
"1030853","2021",1
"1030853","2022",1
"1030853","2023",3
"1030861","2017",0
"1030861","2018",1
"1030861","2019",0
"1030861","2020",1
"1030861","2021",0
"1030861","2022",1
"1030861","2023",0
"1030890","2017",0
"1030890","2018",1
"1030890","2019",1
"1030890","2020",0
"1030890","2021",0
"1030890","2022",0
"1030890","2023",1
"1030899","2017",0
"1030899","2018",0
"1030899","2019",1
"1030899","2020",1
"1030899","2021",0
"1030899","2022",0
"1030899","2023",0
"1031080","2017",0
"1031080","2018",1
"1031080","2019",1
"1031080","2020",0
"1031080","2021",0
