,Participation.#,Sum.Amount,Date.Submitted,Date.Mailed,Name.1,Address.1,City,St,Postal,year_submitted,month_submitted,year_mailed,month_mailed,period,long_duration,class
14065,2190670,60,2023-07-06,2023-11-27T00:00:00.000,OZARK SENIOR CENTER,727 N 9th St,OZARK,MO,65721,2023,7,2023,11,144,1,Community
14061,1200935,60,2023-07-06,2023-11-27T00:00:00.000,THE FRONTIER CLUB,601 N Buckeye Ave,Abilene,KS,67410,2023,7,2023,11,144,1,Community
14070,1071105,240,2023-07-06,2023-11-27T00:00:00.000,GRACE BAPTIST LADIES M GROUP,PO BOX 314,NEODESHA,KS,66757,2023,7,2023,11,144,1,Religious Organization
14049,2033416,60,2023-06-29,2023-07-06T00:00:00.000,CLIFTON FREE WILL BAPTIST CHRC,PO Box 212,Thayer,MO,65791,2023,6,2023,7,7,0,Religious Organization
14037,1130640,30,2023-06-29,2023-07-06T00:00:00.000,UNITED METHODIST WOMEN,219 S. 6th STREET,OSAGE CITY,KS,66523,2023,6,2023,7,7,0,Religious Organization
14047,3011410,60,2023-06-29,2023-07-06T00:00:00.000,HILLSDALE CHRISTIAN SCHOOL CORPORATION,PO Box 8,Hillsdale,OK,73743,2023,6,2023,7,7,0,Religious Organization
14040,1120630,60,2023-06-29,2023-07-06T00:00:00.000,LEAWOOD UNITED METHODIST WOMEN,2915 W 95th St,Leawood,KS,66206,2023,6,2023,7,7,0,Religious Organization
14051,2110390,60,2023-06-29,2023-07-06T00:00:00.000,KOSHKONONG METHODIST CHURCH,PO Box 454,Koshkonong,MO,65692,2023,6,2023,7,7,0,Religious Organization
14054,2130920,120,2023-06-29,2023-07-06T00:00:00.000,ELDON SENIOR CENTER,926 E. NORTH ST.,ELDON,MO,65026,2023,6,2023,7,7,0,Community
14059,1070411,60,2023-06-29,2023-07-06T00:00:00.000,LWML OF GRACE LUTHERAN CHURCH,618 Halifax,Holts Summit,MO,65043,2023,6,2023,7,7,0,Religious Organization
14038,1130088,60,2023-06-29,2023-07-06T00:00:00.000,NORBORNE FIRST BAPTIST CHURCH,300 S Pine St,Norborne,MO,64668,2023,6,2023,7,7,0,Religious Organization
14036,2231470,30,2023-06-29,2023-07-06T00:00:00.000,WOMEN OF ST PAUL LUTHERAN CHU,291 N. KENTUCKY AVE.,WEST PLAINS,MO,65775,2023,6,2023,7,7,0,Religious Organization
14041,1131624,60,2023-06-29,2023-07-06T00:00:00.000,WEBB CITY FIRST CHRISTIAN CHURCH,219 S WEBB ST.,WEBB CITY,MO,64870,2023,6,2023,7,7,0,Religious Organization
14035,2032615,30,2023-06-29,2023-07-06T00:00:00.000,KECHI UNITED METHODIST CHURCH,4533 E 61st St N,Kechi,KS,67067,2023,6,2023,7,7,0,Religious Organization
14034,1060943,180,2023-06-29,2023-07-06T00:00:00.000,FIRST UNITED METH CHURCH YOUTH,PO BOX 52,SABETHA,KS,66534,2023,6,2023,7,7,0,Religious Organization
14033,2190583,270,2023-06-29,2023-07-06T00:00:00.000,TABERNACLE BAPTIST CHURCH,402 E. DANIELS,PIEDMONT,MO,63957,2023,6,2023,7,7,0,Religious Organization
14046,2030300,120,2023-06-29,2023-07-06T00:00:00.000,CROSSROADS OF FAITH CHURCH,5565 HIGHWAY 95,MTN. GROVE,MO,65711,2023,6,2023,7,7,0,Religious Organization
14031,2192518,330,2023-06-22,2023-06-26T00:00:00.000,STRAFFORD SENIOR CENTER,201 W BUMGARNER BLVD.,STRAFFORD,MO,65757,2023,6,2023,6,4,0,Community
14030,1180785,60,2023-06-22,2023-06-26T00:00:00.000,SAFFORDVILLE U METH CHURCH,2450 YY RD.,EMPORIA,KS,66801,2023,6,2023,6,4,0,Religious Organization
14026,2124378,30,2023-06-22,2023-06-26T00:00:00.000,MT. ZION GENERAL BAPTIS CHURCH,2813 LUCE ST.,CAPE GIRARDEAU,MO,63701,2023,6,2023,6,4,0,Religious Organization
14745,2050867,120,2023-06-15,2024-03-18T00:00:00.000,EVENING STAR 4-H CLUB,20653 COUNTY RD. 1340,ST. JAMES,MO,65559,2023,6,2024,3,277,1,Community
14744,2131819,60,2023-06-15,2024-03-18T00:00:00.000,BRIGHTON HWY. ASSEMBLY OF GOD,5403 HWY F,BRIGHTON,MO,65617,2023,6,2024,3,277,1,Religious Organization
14730,1201270,120,2023-06-15,2024-03-18T00:00:00.000,TRINITY LUTHERAN SCHOOL,611 N. 8TH ST.,ATCHISON,KS,66002,2023,6,2024,3,277,1,Religious Organization
14731,2080292,60,2023-06-15,2024-03-18T00:00:00.000,HOPEWELL PRESB. CHURCH,803 E 5th Ter,LAMAR,MO,64759,2023,6,2024,3,277,1,Religious Organization
14733,2231154,60,2023-06-15,2024-03-18T00:00:00.000,ST PAUL LUTH CH WOMEN'S GUILD,PO BOX 98,WILLOW SPRINGS,MO,65793,2023,6,2024,3,277,1,Community
14735,2105030,60,2023-06-15,2024-03-18T00:00:00.000,KIMBERLING AREA SENIOR CENTER,PO Box 873,Kimberling City,MO,65686,2023,6,2024,3,277,1,Community
14737,2160200,30,2023-06-15,2024-03-18T00:00:00.000,HOLY FAMILY CATHOLIC CHURCH,PO BOX 229,SHELL KNOB,MO,65747,2023,6,2024,3,277,1,Religious Organization
14739,1030080,60,2023-06-15,2024-03-18T00:00:00.000,CALVARY BAPTIST ABWM,PO BOX 212,LACYGNE,KS,66040,2023,6,2024,3,277,1,Religious Organization
14740,2020283,60,2023-06-15,2024-03-18T00:00:00.000,BASS CHAPEL BAPTIST CHURCH,8417 N. STATE HIGHWAY 125,STRAFFORD,MO,65657,2023,6,2024,3,277,1,Religious Organization
14009,1131606,60,2023-06-08,2023-06-09T00:00:00.000,MCCROSKIE CREEK BAPTIST CHURCH,17350 CR 256,CARROLLTON,MO,64633,2023,6,2023,6,1,0,Religious Organization
14005,1021483,30,2023-06-08,2023-06-09T00:00:00.000,BAPTIST WOMEN,404 W. RUTLEDGE ST.,YATES CENTER,KS,66783,2023,6,2023,6,1,0,Religious Organization
14006,2160840,60,2023-06-08,2023-06-09T00:00:00.000,TRINITY UNITED METHODIST CHURC,16069 State Highway 34,Piedmont,MO,63957,2023,6,2023,6,1,0,Religious Organization
14014,1130019,60,2023-06-08,2023-06-09T00:00:00.000,NEW SALEM UNITED METHODIST CHURCH,6228 State Hwy E,Oak Ridge,MO,63769,2023,6,2023,6,1,0,Religious Organization
14003,2084285,60,2023-06-08,2023-06-09T00:00:00.000,LADD CHAPEL CHURCH,23645 County Road 232,ADVANCE,MO,63730,2023,6,2023,6,1,0,Religious Organization
14011,2061030,90,2023-06-08,2023-06-09T00:00:00.000,FIRST BAPTIST YOUTH DEPARTMENT,PO BOX 83,EL DORADO SPRINGS,MO,64744,2023,6,2023,6,1,0,Religious Organization
14010,1140638,60,2023-06-08,2023-06-09T00:00:00.000,RAMBLERS SQUARE DANCE CLUB,1316 MIDDLEBROOK DR.,LIBERTY,MO,64068,2023,6,2023,6,1,0,Community
14016,2121021,60,2023-06-08,2023-06-09T00:00:00.000,BOONE CREEK BAPTIST CHURCH,19478 Oscar Rd,Licking,MO,65542,2023,6,2023,6,1,0,Religious Organization
14019,2100684,60,2023-06-08,2023-06-09T00:00:00.000,MT CALVARY LUTHERAN CHURCH,PO BOX 833,BELLE,MO,65013,2023,6,2023,6,1,0,Religious Organization
14021,2031262,90,2023-06-08,2023-06-09T00:00:00.000,CHANUTE CHRISTIAN ACADEMY,1000 WEST 14TH ST.,CHANUTE,KS,66720,2023,6,2023,6,1,0,Religious Organization
14015,1012218,60,2023-06-08,2023-06-09T00:00:00.000,BUSHWHACKER QUILT GUILD,1015 S. ADAMS ST.,NEVADA,MO,64772,2023,6,2023,6,1,0,Community
13981,1080710,30,2023-06-01,2023-06-02T00:00:00.000,ST ROSE PHILLIPINE DUCHESNE,812 E MONROE,GARNETT,KS,66032,2023,6,2023,6,1,0,Community
13986,2260080,60,2023-06-01,2023-06-02T00:00:00.000,ZION LUTHERAN CHURCH LADIES,PO BOX 68,DIGGINS,MO,65636,2023,6,2023,6,1,0,Religious Organization
13974,1193521,60,2023-06-01,2023-06-02T00:00:00.000,FIRST CHRISTIAN CHURCH,301 S. MAIN ST.,HOLDEN,MO,64040,2023,6,2023,6,1,0,Religious Organization
13978,2090150,60,2023-06-01,2023-06-02T00:00:00.000,IMMANUEL LUTHERAN LWML,1519 IRWIN STREET,JOPLIN,MO,64801,2023,6,2023,6,1,0,Religious Organization
13983,1130000,60,2023-06-01,2023-06-02T00:00:00.000,OVERBROOK UNITED METHODIST CHURCH,604 W Santa Fe Trail,Overbrook,KS,66524,2023,6,2023,6,1,0,Religious Organization
13990,1131514,120,2023-06-01,2023-06-02T00:00:00.000,HARVEST COMMUNITY CHURCH OF THE NAZARENE,Food Pantry,Rogersville,MO,65742,2023,6,2023,6,1,0,Religious Organization
13991,3060665,60,2023-06-01,2023-06-02T00:00:00.000,FARMHOUSE CHRISTIAN SCHOOL,16095 Highway 60,Fairview,OK,73737,2023,6,2023,6,1,0,Religious Organization
13993,2071573,60,2023-06-01,2023-06-02T00:00:00.000,FIRST SOUTHERN BAPTIST CHURCH,717 E. 6TH,CHERRYVALE,KS,67335,2023,6,2023,6,1,0,Religious Organization
13994,4554454,60,2023-06-01,2023-06-02T00:00:00.000,FIRST BAPTIST CHURCH BROTHERH.,981 County Road 107,GAINESVILLE,MO,65655,2023,6,2023,6,1,0,Religious Organization
14000,2190999,60,2023-06-01,2023-06-02T00:00:00.000,VICTORY BAPTIST ACADEMY,402 Wayne 341,PIEDMONT,MO,63957,2023,6,2023,6,1,0,Religious Organization
13971,1131107,30,2023-06-01,2023-06-02T00:00:00.000,1ST PRESBYTERIAN CHURCH,PO Box 243,Pleasanton,KS,66075,2023,6,2023,6,1,0,Religious Organization
13969,2032654,60,2023-05-25,2023-06-06T00:00:00.000,LIBERTY LADIES CLUB,560 County Road 282,GATEWOOD,MO,63942,2023,5,2023,6,12,0,Community
13961,1004265,60,2023-05-25,2023-06-06T00:00:00.000,GARRIOT RD CHURCH OF CHRIST,3601 W Owen K Garriott Rd,ENID,OK,73703,2023,5,2023,6,12,0,Religious Organization
13948,1161187,30,2023-05-25,2023-06-06T00:00:00.000,PRESCOTT UNITED METHODIST CHUR,PO Box 224,Prescott,KS,66767,2023,5,2023,6,12,0,Religious Organization
13965,1050690,60,2023-05-25,2023-06-06T00:00:00.000,ENTERPRISE SDA CHURCH,PO BOX 277,ENTERPRISE,KS,67441,2023,5,2023,6,12,0,Religious Organization
13955,1230555,30,2023-05-25,2023-06-06T00:00:00.000,ST. JOHN LUTHERAN,2040 10TH RD,LEROY,KS,66857,2023,5,2023,6,12,0,Religious Organization
13944,1131594,90,2023-05-18,2023-05-19T00:00:00.000,ST PAULS LUTHERAN CHURCH & SCHOOL,1626 E BROADWAY AVE,ENID,OK,73701,2023,5,2023,5,1,0,Religious Organization
13946,2132483,60,2023-05-18,2023-05-19T00:00:00.000,MUSKOGEE AREA QUILTER GUILD,PO Box 365,Muskogee,OK,74402,2023,5,2023,5,1,0,Community
13940,1061439,90,2023-05-18,2023-05-19T00:00:00.000,CWF FIRST CHRISTIAN CHURCH,605 KLEEWOOD DRIVE,FULTON,MO,65251,2023,5,2023,5,1,0,Religious Organization
13952,2033110,60,2023-05-18,2023-05-19T00:00:00.000,COMMUNITY CHURCH OF CHRIST,"HCR #2, BOX 4730",LOWNDES,MO,63951,2023,5,2023,5,1,0,Religious Organization
13935,1131565,90,2023-05-18,2023-05-19T00:00:00.000,MT. ZION CLUB,6785 NW HWY B,APPLETON CITY,MO,64724,2023,5,2023,5,1,0,Community
13957,1130460,60,2023-05-18,2023-05-19T00:00:00.000,PINE VIEW CHRISTIAN HOME,4281 Hwy 17,Summersville,MO,65571,2023,5,2023,5,1,0,Religious Organization
13963,1191027,60,2023-05-18,2023-05-19T00:00:00.000,PARADISE BAPTIST CHURCH,19816 Murphy Rd,Trimble,MO,64492,2023,5,2023,5,1,0,Religious Organization
13953,1192490,60,2023-05-18,2023-05-19T00:00:00.000,ST JOSEPH GUILD,2600 SW 9th Ter,Lees Summit,MO,64081,2023,5,2023,5,1,0,Community
13956,1130209,90,2023-05-18,2023-05-19T00:00:00.000,GRASSY FRIENDSHIP CHURCH YOUTH GROUP,PO Box 1102,Marble Hill,MO,63764,2023,5,2023,5,1,0,Religious Organization
13972,2150231,90,2023-05-18,2023-05-19T00:00:00.000,CALICO CUT-UPS QUILT CLUB,600 Amber Avenue,Hollister,MO,65672,2023,5,2023,5,1,0,Community
13980,2060925,60,2023-05-18,2023-05-19T00:00:00.000,FOCUS 1ST ASSEMBLY OF GOD,4099 MAIN ST,CASSVILLE,MO,65625,2023,5,2023,5,1,0,Religious Organization
13915,1121418,30,2023-05-11,2023-05-15T00:00:00.000,LUTHERAN WMS MISSIONARY LEAGUE,14700 Leavenworth Rd,Basehor,KS,66007,2023,5,2023,5,4,0,Religious Organization
13933,1140160,30,2023-05-11,2023-05-15T00:00:00.000,NAZARENE MISSION FUNDS,2438 140 ROAD,BURR OAK,KS,66936,2023,5,2023,5,4,0,Community
13931,2084285,90,2023-05-11,2023-05-15T00:00:00.000,LADD CHAPEL CHURCH,23645 County Road 232,ADVANCE,MO,63730,2023,5,2023,5,4,0,Religious Organization
13930,2210500,30,2023-05-11,2023-05-15T00:00:00.000,UNITED METHODIST YOUTH,440 County Road 308,ALTON,MO,65606,2023,5,2023,5,4,0,Religious Organization
13924,1081594,60,2023-05-11,2023-05-15T00:00:00.000,WESTRAN RAMBLERS 4-H CLUB,3282 COUNTY ROAD 2130,HUNTSVILLE,MO,65259,2023,5,2023,5,4,0,Community
13921,2210371,60,2023-05-11,2023-05-15T00:00:00.000,UNITED METHODIST WOMEN,PO BOX 370,FORT GIBSON,OK,74434,2023,5,2023,5,4,0,Religious Organization
13920,1160501,60,2023-05-11,2023-05-15T00:00:00.000,1ST GEN BAPT CHILDRENS MISSION,1957 E Meadow Dr,Springfield,MO,65804,2023,5,2023,5,4,0,Religious Organization
13918,1130690,60,2023-05-11,2023-05-15T00:00:00.000,**METZ METHODIST SUNDAY SCHOOL,BOX 164,METZ,MO,64765,2023,5,2023,5,4,0,Religious Organization
13917,1131394,60,2023-05-11,2023-05-15T00:00:00.000,OUTREACH WORSHIP CENTER,804 Crown St,Marble Hill,MO,63764,2023,5,2023,5,4,0,Community
13916,1033235,120,2023-05-11,2023-05-15T00:00:00.000,CHRISTIAN CHURCH COTERIE,102 E 1 STREET,WASHINGTON,KS,66968,2023,5,2023,5,4,0,Religious Organization
13893,1087363,60,2023-05-04,2023-05-05T00:00:00.000,ARMSTRONG SENIOR CENTER,1892 CR 2407,Armstrong,MO,65230,2023,5,2023,5,1,0,Community
13894,1220061,120,2023-05-04,2023-05-05T00:00:00.000,ST JOHNS CATHOLIC SCHOOLS,712 E. MAIN,BELOIT,KS,67420,2023,5,2023,5,1,0,Religious Organization
13887,1131284,150,2023-05-04,2023-05-05T00:00:00.000,DADE COUNTY NEIGHBORHOOD CENTER OACAC,2 N Main St,Greenfield,MO,65661,2023,5,2023,5,1,0,Community
13890,3005407,30,2023-05-04,2023-05-05T00:00:00.000,ST. ALLEN FAMILY CHRISTIAN UNI,PO BOX 3901,ENID,OK,73754,2023,5,2023,5,1,0,Religious Organization
13891,5247999,120,2023-05-04,2023-05-05T00:00:00.000,UNITED METHODIST WOMEN,207 S 6TH ST,BURLINGTON,KS,66839,2023,5,2023,5,1,0,Religious Organization
13886,2124378,120,2023-05-04,2023-05-05T00:00:00.000,MT. ZION GENERAL BAPTIS CHURCH,2813 LUCE ST.,CAPE GIRARDEAU,MO,63701,2023,5,2023,5,1,0,Religious Organization
13885,2191420,120,2023-05-04,2023-05-05T00:00:00.000,SOLID ROCK CHRISTIAN CHURCH,PO BOX 1,ST. JAMES,MO,65559,2023,5,2023,5,1,0,Religious Organization
13898,1192206,60,2023-05-04,2023-05-05T00:00:00.000,STERLING ACRES BAPTIST CHURCH,11200 E. 47TH ST.,KANSAS CITY,MO,64133,2023,5,2023,5,1,0,Religious Organization
13895,1131560,60,2023-05-04,2023-05-05T00:00:00.000,FAITH UNITED CHURCH,3025 Karnes Rd,Saint Joseph,MO,64506,2023,5,2023,5,1,0,Religious Organization
13888,2131193,60,2023-05-04,2023-05-05T00:00:00.000,MILLER COUNTY CARE CENTER,1157 HWY 17,TUSCUMBIA,MO,65082,2023,5,2023,5,1,0,Community
13900,2060175,60,2023-05-04,2023-05-05T00:00:00.000,SHERIDAN HOMEMAKERS,2693 NW Highway 102,Scammon,KS,66773,2023,5,2023,5,1,0,Community
13910,1096346,60,2023-05-04,2023-05-05T00:00:00.000,ROSENDALE GARDEN CLUB,12799 County Rd 168,Rosendale,MO,64483,2023,5,2023,5,1,0,Community
13914,1192390,90,2023-05-04,2023-05-05T00:00:00.000,ST. JOHN THE BAPTIST ALTAR SO,708 N. 4TH ST,KANSAS CITY,KS,66101,2023,5,2023,5,1,0,Religious Organization
13911,1010922,60,2023-05-04,2023-05-05T00:00:00.000,THE AMERICUS UNITED METHODIST CHURCH,PO BOX 82,AMERICUS,KS,66835,2023,5,2023,5,1,0,Religious Organization
13903,1230293,60,2023-05-04,2023-05-05T00:00:00.000,WMU SOCIETY - FIRST BAPT CHURC,PO BOX 102,ADRIAN,MO,64720,2023,5,2023,5,1,0,Religious Organization
13907,1131191,30,2023-05-04,2023-05-05T00:00:00.000,OAK GROVE BAPTIST CHURCH,11525 State Route Y,Birch Tree,MO,65438,2023,5,2023,5,1,0,Religious Organization
13906,1114225,60,2023-05-04,2023-05-05T00:00:00.000,TRINITY LUTHERAN LWML,902 KENNEDY ST.,BURLINGTON,KS,66839,2023,5,2023,5,1,0,Religious Organization
13908,1230033,60,2023-05-04,2023-05-05T00:00:00.000,DORCAS/DOWNING GRP 1ST BAPT CH,2511 Franklin Ave,Lexington,MO,64067,2023,5,2023,5,1,0,Religious Organization
13883,2030732,90,2023-04-27,2023-05-05T00:00:00.000,CROSS POINT FAMILY CHURCH,209 Haynes,Campbell,MO,63933,2023,4,2023,5,8,0,Religious Organization
13877,1180130,60,2023-04-27,2023-05-05T00:00:00.000,RAYTOWN GARDEN CLUB,805 N Dakota Dr,Independence,MO,64056,2023,4,2023,5,8,0,Community
13876,1140160,60,2023-04-27,2023-05-05T00:00:00.000,NAZARENE MISSION FUNDS,2438 140 ROAD,BURR OAK,KS,66936,2023,4,2023,5,8,0,Community
13867,2131263,60,2023-04-27,2023-05-05T00:00:00.000,CALVARY TEMPLE ASSEMBLY OF GOD,606 W 29th Terr,Lawrence,KS,66046,2023,4,2023,5,8,0,Religious Organization
13864,1010594,60,2023-04-27,2023-05-05T00:00:00.000,LWML - OUR SAVIOR LUTHERAN,4153 RAINBOW BLVD.,KANSAS CITY,KS,66103,2023,4,2023,5,8,0,Religious Organization
13862,1060465,90,2023-04-27,2023-05-05T00:00:00.000,FRIENDS OF THE MOUND CITY LAKE,215 Main St,Mound City,KS,66056,2023,4,2023,5,8,0,Community
13843,1110315,60,2023-04-20,2023-04-21T00:00:00.000,FIRST BAPTIST CHURCH,405 S First St,Drexel,MO,64742,2023,4,2023,4,1,0,Religious Organization
13846,1160748,90,2023-04-20,2023-04-21T00:00:00.000,COPELAND BAPTIST CHURCH,2009 WALNUT STREET,ST. JOSEPH,MO,64503,2023,4,2023,4,1,0,Religious Organization
13835,1131532,60,2023-04-20,2023-04-21T00:00:00.000,VICTORY HILL BAPTIST CHURCH,20220 Maries Road 636,Dixon,MO,65459,2023,4,2023,4,1,0,Religious Organization
13838,1131107,30,2023-04-20,2023-04-21T00:00:00.000,1ST PRESBYTERIAN CHURCH,PO Box 243,Pleasanton,KS,66075,2023,4,2023,4,1,0,Religious Organization
13841,1130420,60,2023-04-20,2023-04-25T00:00:00.000,MAYWOOD LADIES COUNCIL,11201 PARALLEL PKWY,KANSAS CITY,KS,66110,2023,4,2023,4,5,0,Community
13842,2210500,60,2023-04-20,2023-04-21T00:00:00.000,UNITED METHODIST YOUTH,440 County Road 308,ALTON,MO,65606,2023,4,2023,4,1,0,Religious Organization
13845,1021483,30,2023-04-20,2023-04-21T00:00:00.000,BAPTIST WOMEN,404 W. RUTLEDGE ST.,YATES CENTER,KS,66783,2023,4,2023,4,1,0,Religious Organization
13847,1146782,60,2023-04-20,2023-04-21T00:00:00.000,GREENWOOD BAPTIST CHURCH,PO BOX 423,POMONA,KS,66076,2023,4,2023,4,1,0,Religious Organization
13849,1131042,60,2023-04-20,2023-04-21T00:00:00.000,TEMPLE OF GODS GLORY,141 S Lincoln St,Homestown,MO,63879,2023,4,2023,4,1,0,Religious Organization
13850,1230780,60,2023-04-20,2023-04-21T00:00:00.000,WHITE CHURCH CHRISTIAN WO FE,4324 Victory Dr,Kansas City,KS,66102,2023,4,2023,4,1,0,Religious Organization
13852,1020209,180,2023-04-20,2023-04-21T00:00:00.000,DELAWARE BAPTIST ABWM,1010 OHIO ST.,SABETHA,KS,66534,2023,4,2023,4,1,0,Religious Organization
13855,2200290,60,2023-04-20,2023-04-21T00:00:00.000,CHURCH OF GOD OF PROPHECY,17383 Edgewood Dr,Winona,MO,65588,2023,4,2023,4,1,0,Religious Organization
13860,1110295,60,2023-04-20,2023-04-21T00:00:00.000,KERN SENIOR CENTER,613 E. PARK,RICH HILL,MO,64779,2023,4,2023,4,1,0,Community
13848,2080936,60,2023-04-20,2023-04-21T00:00:00.000,HIDDEN HAVEN CHRISTIAN CAMP,8001 HIDDEN HAVEN RD.,THAYER,KS,66776,2023,4,2023,4,1,0,Religious Organization
13828,2231010,60,2023-04-13,2023-04-19T00:00:00.000,WILLARD SENIOR CENTER,P.O. BOX 371,WILLARD,MO,65781,2023,4,2023,4,6,0,Community
13825,1250022,60,2023-04-13,2023-04-19T00:00:00.000,TRINITY UNITED CHURCH OF CHRIST,1312 FRANKLIN AVE.,LEXINGTON,MO,64067,2023,4,2023,4,6,0,Religious Organization
13819,2124378,210,2023-04-13,2023-04-19T00:00:00.000,MT. ZION GENERAL BAPTIS CHURCH,2813 LUCE ST.,CAPE GIRARDEAU,MO,63701,2023,4,2023,4,6,0,Religious Organization
13820,1180593,60,2023-04-13,2023-04-19T00:00:00.000,ROCK FALLS BAPTIST CHURCH,34958 HWY 10,EXCELSIOR SPRINGS,MO,64024,2023,4,2023,4,6,0,Religious Organization
13821,1080710,90,2023-04-13,2023-04-19T00:00:00.000,ST ROSE PHILLIPINE DUCHESNE,812 E MONROE,GARNETT,KS,66032,2023,4,2023,4,6,0,Community
13824,1130341,60,2023-04-13,2023-04-19T00:00:00.000,HOLY ANGELS CHURCH,812 E Monroe,Garnett,KS,66031,2023,4,2023,4,6,0,Religious Organization
13831,2161695,60,2023-04-13,2023-04-19T00:00:00.000,CHENEY BAPT LADIES FELLOWSHIP,PO Box 350,CHENEY,KS,67025,2023,4,2023,4,6,0,Religious Organization
13826,1131409,60,2023-04-13,2023-04-19T00:00:00.000,HAHN CHAPEL GENERAL BAPTIST CHURCH INC,701 PROSPECT,MARBLE HILL,MO,63764,2023,4,2023,4,6,0,Religious Organization
13832,1130573,60,2023-04-13,2023-04-19T00:00:00.000,FIRST BAPTIST CHURCH OF DESLOGE,411 N Harding St,Desloge,MO,63601,2023,4,2023,4,6,0,Religious Organization
13833,1033130,90,2023-04-13,2023-04-19T00:00:00.000,CURRIER CIRCLE 1ST BAPTIST CHR,207 E Wea St,Paola,KS,66071,2023,4,2023,4,6,0,Religious Organization
13811,2160200,30,2023-04-13,2023-04-19T00:00:00.000,HOLY FAMILY CATHOLIC CHURCH,PO BOX 229,SHELL KNOB,MO,65747,2023,4,2023,4,6,0,Religious Organization
13790,2076001,300,2023-04-06,2023-04-19T00:00:00.000,VALLE CATHOLIC SCHOOL,40 N 4th St,STE. GENEVIEVE,MO,63670,2023,4,2023,4,13,0,Religious Organization
13798,1050654,60,2023-04-06,2023-04-19T00:00:00.000,EBENEZER BAPTIST CHURCH,1197 JEEP RD,ABILENE,KS,67410,2023,4,2023,4,13,0,Religious Organization
13791,1140852,60,2023-04-06,2023-04-19T00:00:00.000,ANGELS ON A MISSION,24336 BROOKSIDE RD,HERMITAGE,MO,65668,2023,4,2023,4,13,0,Community
13792,1030081,90,2023-04-06,2023-04-19T00:00:00.000,COUNCIL ON AGING,1830 S. BROADWAY,LEAVENWORTH,KS,66048,2023,4,2023,4,13,0,Community
13796,2090190,60,2023-04-06,2023-04-19T00:00:00.000,IMMANUAL LUTHERAN WOMENS LEAG.,637 W. 710 AVE.,HEPLER,KS,66746,2023,4,2023,4,13,0,Religious Organization
13799,2210431,60,2023-04-06,2023-04-19T00:00:00.000,UNITED METHODIST WOMEN,500 S College St,Nevada,MO,64772,2023,4,2023,4,13,0,Religious Organization
